person_age,annual_inc,home_ownership,employment_length,loan_intent,loan_grade,loan_amt,interest_rate,target_flag,income_ratio,employment_type,residence_type,credit_score,monthly_income,loan_status_final,repayment_flag,last_payment_status,random_score_1,random_score_2,duplicate_feature
39,134000.0,MORTGAGE,0.0,VENTURE,B,25000.0,10.25,0,0.19,employed,Urban,632.0,2340.0,-0.01573212939561707,-0.0355417419250622,100,2.7891286898406253,426,39
22,60000.0,MORTGAGE,6.0,VENTURE,D,24250.0,15.31,0,0.4,employed,RURAL,515.0,6360.0,-0.011200851325255346,-0.07474930488026887,100,61.37897030751094,604,22
23,32000.0,RENT,0.0,MEDICAL,C,8500.0,13.16,0,0.27,Employed,RURAL,891.0,15660.0,0.011891297814534662,0.07669225525181476,100,84.54485327919357,691,23
25,30000.0,RENT,1.0,EDUCATION,C,5300.0,15.27,0,0.18,self_emp,Rural,629.0,1500.0,0.01756101589693534,0.009066183561845442,100,49.393188467725544,862,25
24,148000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,D,25000.0,15.31,1,0.17,Employed,RURAL,687.0,5940.0,0.9921782054604736,0.9933595562880657,0,31.30216410735015,759,24
26,190000.0,MORTGAGE,3.0,VENTURE,B,20000.0,12.18,0,0.11,Employed,RURAL,829.0,6300.0,-0.011689809102124998,-0.09459052683541004,100,6.483122559670596,677,26
23,167300.0,MORTGAGE,1.0,EDUCATION,B,20000.0,12.21,0,0.12,employed,Rural,713.0,1500.0,-0.018116398471183872,0.08376012120438886,100,21.04234797955382,751,23
34,122400.0,MORTGAGE,5.0,MEDICAL,B,6800.0,10.65,0,0.06,Self-employed,RURAL,890.0,3840.0,0.0071841169777662976,-0.00032134060894743115,100,88.52446146055108,746,34
23,,MORTGAGE,5.0,MEDICAL,B,6000.0,9.99,0,0.05,self_emp,Rural,617.0,6300.0,0.002230203029621631,0.024567594708177327,100,29.73068704803037,764,23
27,35000.0,RENT,3.0,MEDICAL,A,,7.49,0,0.17,Employed,URBAN,707.0,7860.0,-0.0140005653716338,-0.01676955265078447,100,33.320129396000034,853,27
32,52256.0,RENT,13.0,PERSONAL,B,4400.0,,0,0.08,Self-employed,URBAN,788.0,6060.0,-0.005033567380494731,0.07969762962527223,100,68.57287645889586,979,32
36,408000.0,MORTGAGE,12.0,HOMEIMPROVEMENT,A,35000.0,7.9,0,0.09,Self-employed,Rural,585.0,2340.0,0.005336264248164758,-0.0016220614439665132,100,46.85224367247839,232,36
37,120000.0,MORTGAGE,5.0,PERSONAL,A,5400.0,5.99,0,0.04,Employed,RURAL,545.0,6240.0,-0.0019052518962003736,-0.09956234900153109,100,17.765954827140185,927,37
24,60140.0,RENT,2.0,VENTURE,A,7000.0,8.59,0,0.12,self_emp,Rural,633.0,6120.0,0.0015464854323662509,0.050470441201675036,100,84.85731812163992,990,24
26,43000.0,RENT,,MEDICAL,A,7800.0,,0,0.18,Employed,URBAN,867.0,6720.0,0.004945224920487726,0.01953156102256356,100,72.19708048703481,922,26
27,88000.0,MORTGAGE,,VENTURE,B,14000.0,,0,0.16,Self-employed,Urban,704.0,2100.0,-0.011305204560329612,-0.004796033803693911,100,91.28647058937183,959,27
26,126000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,C,7500.0,13.92,0,0.06,self_emp,Urban,683.0,4680.0,0.0011375768348027737,-0.012636554667866735,100,77.81872785868336,127,26
24,63000.0,MORTGAGE,8.0,PERSONAL,F,20000.0,19.13,0,0.32,self_emp,Urban,664.0,2520.0,0.0007234521731918178,-0.010298813931502317,100,16.722360380729484,863,24
26,24000.0,RENT,0.0,EDUCATION,A,4800.0,,0,0.2,self_emp,Rural,792.0,16680.0,-0.012732127739133976,0.11040295387545446,100,73.13610673707433,368,26
22,33000.0,OWN,,PERSONAL,B,12000.0,9.91,0,0.36,employed,URBAN,808.0,4020.0,-0.013177997521089738,0.06511533553923649,100,75.36766034802174,79,22
30,100000.0,RENT,1.0,PERSONAL,B,1000.0,11.71,0,0.01,employed,Rural,832.0,7260.0,-0.022142681858845516,-0.0435501589261217,100,15.397657513350937,10,30
32,65000.0,OWN,12.0,VENTURE,B,10000.0,11.99,0,0.15,employed,URBAN,695.0,6120.0,0.008175345098452977,0.013384370116364409,100,90.95832719678076,548,32
32,,MORTGAGE,2.0,MEDICAL,C,6000.0,14.27,0,0.1,Self-employed,Rural,,25620.0,0.008276575097351987,0.004798958161821575,100,0.8785234785470775,168,32
25,37000.0,RENT,0.0,DEBTCONSOLIDATION,C,7200.0,11.34,0,0.19,Employed,Rural,536.0,4800.0,0.008435502912221204,-0.007114672150483581,100,43.460499627847526,922,25
23,40000.0,RENT,3.0,EDUCATION,B,10000.0,10.75,0,0.25,Employed,Rural,735.0,2340.0,0.003067899624614518,-0.050138877831873964,100,2.1479049639596903,137,23
31,80400.0,RENT,0.0,DEBTCONSOLIDATION,A,12000.0,7.29,0,0.15,Employed,URBAN,812.0,4920.0,-0.02133119217718111,0.02229489924033262,100,52.335784581193266,181,31
31,135000.0,MORTGAGE,12.0,MEDICAL,C,,,0,0.11,Employed,Rural,891.0,3060.0,-0.010267104917852661,0.04230358149573183,100,41.21561537513644,721,31
22,64000.0,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6625.0,6.62,0,0.1,employed,Urban,,9360.0,0.0017041541759311193,-0.04169493425333901,100,62.30619371155382,454,22
34,948000.0,MORTGAGE,18.0,PERSONAL,B,2000.0,9.99,0,0.0,Self-employed,Urban,847.0,7800.0,-0.002227482131520212,0.07610016246177771,100,76.85752290786851,720,34
34,103363.0,MORTGAGE,4.0,DEBTCONSOLIDATION,B,15000.0,,0,0.15,employed,RURAL,780.0,5400.0,0.003689172029082467,0.02740827794756162,100,72.22216003414292,214,34
24,,RENT,0.0,VENTURE,A,12000.0,7.66,0,0.29,Self-employed,RURAL,,6000.0,0.00011651707685245566,-0.06158598513344067,100,10.187744177740132,309,24
33,99000.0,MORTGAGE,8.0,MEDICAL,B,24000.0,11.36,0,0.24,employed,URBAN,523.0,5940.0,0.001207704655513617,0.02007043129922811,100,41.743852614448826,167,33
25,29004.0,RENT,5.0,PERSONAL,C,12000.0,12.84,1,0.41,Employed,URBAN,719.0,6900.0,0.9936093466716799,0.9640989000782232,0,81.59504980652274,317,25
26,34000.0,RENT,1.0,VENTURE,C,,,0,0.16,employed,RURAL,593.0,12360.0,0.009820109861215903,0.02565776381092484,100,65.4300181483994,52,26
23,65000.0,MORTGAGE,7.0,PERSONAL,A,5000.0,7.43,0,0.08,Employed,Rural,680.0,3480.0,-0.004307716086803841,0.0795232136144868,100,68.10279049277278,196,23
22,,RENT,6.0,PERSONAL,A,12000.0,7.29,0,0.17,Employed,Rural,690.0,9900.0,-0.013306490830206264,-0.008798702730831023,100,22.69260320095785,708,22
31,40000.0,RENT,,MEDICAL,C,2500.0,13.23,0,0.06,self_emp,Rural,512.0,5340.0,-0.007709990128187286,0.10239132898278719,100,32.50598609408261,713,31
21,78000.0,RENT,1.0,EDUCATION,B,14275.0,9.91,0,0.18,employed,URBAN,612.0,5100.0,-0.0004226799843479304,0.11996886033532057,100,16.49217367113235,243,21
24,54996.0,RENT,0.0,DEBTCONSOLIDATION,C,,12.87,0,0.23,self_emp,RURAL,616.0,14760.0,-0.012486634247626274,-0.02273669434787364,100,49.05072673280924,707,24
25,46000.0,RENT,1.0,MEDICAL,B,9500.0,,0,0.21,self_emp,Urban,897.0,20100.0,0.007854825898295763,0.00421082944732212,100,44.36598592100167,352,25
30,62496.0,MORTGAGE,14.0,PERSONAL,B,,,0,0.05,employed,Rural,507.0,10620.0,-0.006519521540233857,0.0317616510927267,100,47.06135713739857,587,30
27,99000.0,MORTGAGE,4.0,VENTURE,A,9000.0,,0,0.09,Self-employed,Rural,632.0,9900.0,-0.0010002785894133593,-0.00754305133926709,100,64.28885098725156,179,27
35,,RENT,0.0,DEBTCONSOLIDATION,C,3400.0,13.06,0,0.07,Employed,Urban,743.0,5580.0,0.014801830768818648,0.0066953934522475155,100,96.71494168769895,387,35
23,36996.0,OWN,4.0,MEDICAL,A,10000.0,7.51,0,0.27,self_emp,RURAL,812.0,6660.0,0.005087633310493045,-0.040860180183136065,100,87.53253392608012,909,23
26,76000.0,RENT,5.0,DEBTCONSOLIDATION,C,11800.0,13.11,0,0.16,Employed,Urban,775.0,1500.0,-0.016282540477151743,-0.08425972654039542,100,87.51264036036214,364,26
24,72000.0,RENT,3.0,EDUCATION,A,6000.0,7.66,0,0.08,Self-employed,Rural,849.0,6540.0,-0.01769510236352472,0.005320966137235594,100,70.33767330701107,909,24
28,115000.0,RENT,0.0,HOMEIMPROVEMENT,A,2850.0,6.54,0,0.02,Self-employed,Rural,766.0,4620.0,-0.0006431045011924605,0.007001391111294365,100,1.758763425244847,632,28
24,26400.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6000.0,8.9,0,0.23,Self-employed,RURAL,503.0,1320.0,-0.01212740614874805,0.02635597957789272,100,44.04605329387381,377,24
29,40000.0,RENT,1.0,DEBTCONSOLIDATION,A,3600.0,8.59,0,0.09,self_emp,Urban,856.0,1500.0,0.006485467476329978,-0.02880948535530984,100,51.11262351744643,573,29
24,,RENT,0.0,EDUCATION,B,3600.0,10.59,0,0.06,Self-employed,Rural,800.0,6540.0,0.0004226306496497919,-0.06702771472703326,100,84.2491305025664,280,24
22,33000.0,RENT,6.0,EDUCATION,B,,11.99,0,0.27,Self-employed,Urban,849.0,6600.0,-0.007067431816423531,0.052781687841991234,100,45.15458847890854,74,22
22,54000.0,RENT,4.0,VENTURE,B,5600.0,9.63,0,0.1,Employed,URBAN,787.0,11700.0,0.028425937280104594,-0.022104049290188096,100,33.735470249685285,500,22
23,88000.0,MORTGAGE,,VENTURE,A,12475.0,6.03,0,0.14,Employed,RURAL,,7680.0,-0.0025968686344106868,-0.04355617823169053,100,41.86519809039032,35,23
22,39000.0,RENT,3.0,MEDICAL,B,6600.0,,0,0.17,self_emp,Rural,,1740.0,-0.008320704677327966,0.07003282872840999,100,99.00641684660827,590,22
28,30422.0,OWN,12.0,PERSONAL,A,,8.49,0,0.16,Employed,Urban,552.0,1500.0,-0.010849679874804771,0.034005034167146495,100,10.951524733963879,501,28
22,42996.0,RENT,,PERSONAL,C,4800.0,11.03,0,0.11,employed,Urban,549.0,6540.0,-0.011355972655255243,0.06239103865751188,100,18.787923427293542,848,22
25,87000.0,MORTGAGE,4.0,MEDICAL,B,13000.0,11.26,0,0.15,employed,Urban,,1500.0,0.004052400255491455,0.0724669878230419,100,51.1590685649486,286,25
26,74000.0,RENT,3.0,PERSONAL,B,9000.0,10.0,0,0.12,Self-employed,URBAN,,8400.0,-0.005196744782036354,-0.11749398987164905,100,86.83053732447864,83,26
25,79000.0,OWN,3.0,VENTURE,A,14000.0,6.92,0,0.18,self_emp,RURAL,625.0,7920.0,-0.025782928501405303,0.01717273210140383,100,35.395310992374505,929,25
23,,OWN,7.0,VENTURE,D,8000.0,15.65,0,0.22,Employed,URBAN,739.0,4620.0,0.004448582205983224,-0.029308931694915948,100,83.74678742598644,41,23
29,74000.0,RENT,13.0,HOMEIMPROVEMENT,B,11500.0,,0,0.16,Self-employed,Rural,509.0,8100.0,-0.00038261282464155865,0.05584048221766742,100,42.54525864781476,962,29
23,70872.0,RENT,7.0,DEBTCONSOLIDATION,C,10000.0,,0,0.14,Employed,RURAL,501.0,6180.0,0.013466730014011462,-0.03707356016212807,100,85.29920350321194,498,23
28,52000.0,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2800.0,10.99,0,0.05,Employed,URBAN,625.0,1500.0,0.0037312239709100933,-0.05270748781818549,100,27.743143037522344,614,28
24,53184.0,MORTGAGE,8.0,PERSONAL,B,,10.99,0,0.25,Self-employed,Urban,,4260.0,-0.007194723843379373,0.045747263126415555,100,21.522352550807522,596,24
26,48000.0,RENT,10.0,EDUCATION,B,4225.0,9.83,0,0.09,Self-employed,URBAN,535.0,3840.0,-0.006251074206936527,0.012808360843065589,100,42.11457202976201,899,26
44,171996.0,MORTGAGE,19.0,VENTURE,B,25000.0,9.62,0,0.15,Self-employed,URBAN,668.0,3660.0,0.009431592010001667,-0.060132413256807196,100,33.47067522234896,213,44
31,,MORTGAGE,4.0,EDUCATION,A,19150.0,6.99,0,0.24,Employed,URBAN,900.0,3600.0,-8.870932289573393e-05,0.10763295451809454,100,78.7146956337916,248,31
24,118000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5000.0,5.42,0,0.04,Self-employed,Urban,749.0,15060.0,0.011336884980985088,0.0324769319745784,100,74.76385569931068,577,24
35,19200.0,RENT,2.0,VENTURE,A,3675.0,8.49,1,0.19,self_emp,URBAN,666.0,9540.0,0.9867516694429737,0.9888705057878843,0,35.85534031696779,597,35
51,28000.0,RENT,3.0,VENTURE,B,8000.0,11.86,0,0.29,Self-employed,RURAL,823.0,6900.0,0.007209891534309195,-0.08201077943128898,100,97.38378148804013,882,51
25,80000.0,MORTGAGE,9.0,VENTURE,D,14000.0,15.62,0,0.17,Self-employed,RURAL,801.0,4860.0,-0.020182341114311966,-0.045571706929394135,100,91.78334776778036,456,25
29,85000.0,RENT,3.0,EDUCATION,A,,6.92,0,0.08,Employed,Urban,,5160.0,0.013226178412607724,0.041150567846213626,100,58.65079929985455,898,29
24,,OWN,3.0,HOMEIMPROVEMENT,A,9800.0,7.51,0,0.18,Self-employed,Urban,,1500.0,0.0009345849176635273,-0.04053691640107385,100,41.23107418394203,983,24
22,100000.0,MORTGAGE,3.0,VENTURE,B,12000.0,11.11,0,0.12,Self-employed,RURAL,,10980.0,0.003920445038685057,-0.01375067361275241,100,31.302294884240244,425,22
22,37000.0,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15000.0,6.54,0,0.41,Self-employed,RURAL,695.0,4560.0,-0.008648961124284227,-0.003887032641565004,100,1.503206893470821,437,22
36,,RENT,5.0,VENTURE,C,16500.0,13.61,0,0.23,Employed,RURAL,833.0,10980.0,0.012752470129219724,-0.06387026943149587,100,63.1806731825853,715,36
24,72000.0,RENT,8.0,EDUCATION,A,14000.0,7.9,0,0.19,Self-employed,Rural,620.0,2100.0,-0.0118585232923887,-0.018040859106681996,100,55.31619099085279,400,24
32,60000.0,MORTGAGE,2.0,VENTURE,B,7125.0,9.99,0,0.12,Employed,URBAN,,11460.0,0.008206074759086713,0.03647269449089206,100,57.59549124358953,241,32
23,20000.0,MORTGAGE,2.0,MEDICAL,B,6400.0,10.65,0,0.32,employed,Rural,848.0,6360.0,-0.00974167428172222,0.0556507330983734,100,13.771594148022148,608,23
23,50400.0,MORTGAGE,7.0,EDUCATION,A,8375.0,7.51,0,0.17,Employed,Rural,704.0,4740.0,0.01983373599422574,0.050493793689539816,100,69.53793900848946,879,23
21,80400.0,RENT,5.0,VENTURE,A,14400.0,,0,0.18,Self-employed,Urban,705.0,2880.0,0.002315284802175192,0.02029369628512921,100,36.043577472030506,807,21
29,70004.0,RENT,0.0,MEDICAL,A,,9.63,0,0.11,Employed,Urban,644.0,7200.0,-0.015271207953357558,0.012666538005330888,100,36.565377373609245,932,29
40,125000.0,RENT,,DEBTCONSOLIDATION,B,24250.0,,0,0.19,self_emp,Urban,710.0,7200.0,0.02117730003008565,-0.03135235836269804,100,2.1999870222929707,663,40
24,47928.0,RENT,1.0,MEDICAL,B,6000.0,12.53,0,0.13,Self-employed,URBAN,,6180.0,-0.012245569402250897,-0.051497236186030686,100,87.65538213142943,431,24
22,128165.0,RENT,,DEBTCONSOLIDATION,A,,8.94,0,0.11,Employed,Urban,613.0,14880.0,0.010248864327659304,-0.03447986730599501,100,14.87334432942765,689,22
28,38000.0,MORTGAGE,,VENTURE,A,8400.0,7.51,0,0.22,self_emp,URBAN,828.0,8640.0,-0.009947717179316954,-0.016301465827873448,100,58.21730627718543,695,28
33,36000.0,MORTGAGE,3.0,PERSONAL,A,7800.0,7.14,0,0.22,Employed,URBAN,838.0,4260.0,-0.006189888028476827,-0.03279129723713881,100,88.31310136131304,119,33
23,50004.0,MORTGAGE,7.0,EDUCATION,A,2700.0,5.99,0,0.05,Self-employed,RURAL,587.0,2340.0,0.010275527136751573,0.01009476080321256,100,41.20147326288732,906,23
22,,MORTGAGE,,VENTURE,C,7000.0,12.98,0,0.14,employed,Urban,897.0,7500.0,-0.01271284249114102,0.015466174936010905,100,37.77319819015823,575,22
21,57500.0,MORTGAGE,6.0,VENTURE,A,4000.0,7.9,0,0.07,Employed,Urban,,17940.0,0.01044980495133194,0.05978319688922665,100,42.35172707969417,863,21
25,65000.0,MORTGAGE,0.0,VENTURE,A,12000.0,7.9,0,0.18,Self-employed,URBAN,562.0,8400.0,-0.009379534088448924,-0.00042864461935502094,100,47.947848613247714,620,25
25,58000.0,MORTGAGE,,MEDICAL,B,17000.0,10.95,0,0.29,self_emp,Rural,833.0,3120.0,0.015986475935911102,0.050418471691730575,100,2.6597332087300085,538,25
36,62400.0,MORTGAGE,13.0,VENTURE,C,14100.0,12.98,0,0.23,Employed,URBAN,516.0,1500.0,-0.01456857628248038,0.025829267898958366,100,48.81437573990032,688,36
26,38000.0,MORTGAGE,,HOMEIMPROVEMENT,D,15000.0,15.33,0,0.39,Employed,RURAL,692.0,1500.0,-0.006247725827776154,0.056481676831754285,100,9.383012754199827,487,26
26,78000.0,RENT,6.0,DEBTCONSOLIDATION,C,18000.0,13.49,0,0.23,Employed,RURAL,700.0,6000.0,0.0047900262409198875,0.08073149171932861,100,89.24626593563649,490,26
23,56900.0,MORTGAGE,7.0,MEDICAL,B,11200.0,,0,0.2,self_emp,Rural,705.0,16500.0,-0.008535662847026065,0.028832478998953512,100,65.01577480148687,414,23
23,38000.0,RENT,4.0,PERSONAL,B,10000.0,10.99,0,0.26,self_emp,RURAL,549.0,7500.0,0.00263819085679341,0.0051884124835999326,100,5.642693258579823,130,23
44,24000.0,OWN,5.0,EDUCATION,D,5000.0,14.74,0,0.21,self_emp,RURAL,761.0,7440.0,0.002410760788032952,0.004865390872165406,100,82.70430180725108,541,44
26,36000.0,RENT,4.0,VENTURE,B,5000.0,10.37,0,0.14,self_emp,Urban,587.0,11040.0,0.008324005385905596,-0.02518860732880281,100,22.561713920859326,160,26
29,,MORTGAGE,0.0,VENTURE,B,25000.0,10.08,0,0.17,self_emp,RURAL,531.0,6000.0,-0.0022836079265763916,0.04510585816557676,100,25.39212161238158,108,29
28,52000.0,RENT,12.0,VENTURE,A,10000.0,6.92,0,0.19,self_emp,RURAL,,1500.0,0.0023154106881380565,-0.04818351462237779,100,59.771858736500796,243,28
36,45000.0,MORTGAGE,21.0,HOMEIMPROVEMENT,B,2000.0,9.88,0,0.04,employed,Urban,786.0,98220.0,0.011464718774879026,0.0807386317781113,100,8.155293465165148,251,36
27,70000.0,MORTGAGE,11.0,PERSONAL,A,5600.0,5.42,0,0.08,self_emp,RURAL,559.0,5940.0,0.007906862100258405,-0.007586162645200987,100,5.874513625782852,166,27
27,58000.0,RENT,5.0,HOMEIMPROVEMENT,A,5900.0,9.32,0,0.1,Employed,RURAL,677.0,3060.0,0.005247925755013217,0.012509445999016731,100,48.34284142895443,500,27
24,,RENT,1.0,EDUCATION,C,3900.0,12.23,0,0.1,Employed,Rural,750.0,8100.0,-0.008784987909695048,-0.017592463512420956,100,41.32833270236878,728,24
22,50000.0,MORTGAGE,6.0,EDUCATION,A,4800.0,6.03,0,0.1,Employed,URBAN,723.0,6840.0,-0.012814149797780264,-0.03965420457716359,100,94.71977027459388,34,22
29,50000.0,RENT,,MEDICAL,A,3000.0,7.29,0,0.06,employed,Rural,667.0,2640.0,-0.0007170634628496836,0.05319001754393593,100,24.099058108957372,791,29
23,65000.0,OWN,7.0,MEDICAL,C,10000.0,13.98,0,0.15,employed,RURAL,578.0,14640.0,-0.009042951866515898,-0.055277709719890315,100,24.054103313491858,756,23
27,84000.0,MORTGAGE,3.0,DEBTCONSOLIDATION,A,7000.0,7.29,0,0.08,employed,Urban,509.0,7920.0,0.007906177188399772,-0.03380372534871173,100,90.51161130606656,846,27
25,108000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,B,,11.71,0,0.19,self_emp,URBAN,594.0,2940.0,0.00814535459695324,0.029315985445745537,100,64.69311795989626,167,25
22,25000.0,RENT,0.0,MEDICAL,C,7000.0,12.87,0,0.28,Employed,Urban,764.0,4080.0,-0.01902626236431442,0.03724804054747024,100,5.3783788387651965,69,22
30,70000.0,MORTGAGE,,MEDICAL,A,6000.0,,0,0.09,employed,URBAN,589.0,6780.0,-0.0082830253957689,-0.06959427106137604,100,67.39774079204449,629,30
22,59600.0,MORTGAGE,6.0,PERSONAL,A,6000.0,5.42,0,0.1,employed,Urban,654.0,16320.0,-0.01459786671917999,0.0290838442607687,100,82.0031541256507,73,22
34,103000.0,MORTGAGE,5.0,VENTURE,B,16000.0,10.62,0,0.16,employed,URBAN,896.0,8880.0,0.004551756698688243,-0.0458861678930765,100,38.28928742815162,831,34
27,56253.0,RENT,11.0,VENTURE,B,10000.0,11.36,0,0.18,self_emp,Rural,,4680.0,-0.002422880981783883,-0.03944407676677771,100,19.767661789187496,997,27
23,41496.0,OWN,4.0,VENTURE,E,,,0,0.17,employed,Rural,842.0,6540.0,0.013001765268131394,0.08587222138987889,100,66.41948691941361,903,23
31,,RENT,2.0,DEBTCONSOLIDATION,A,3000.0,7.49,0,0.13,Self-employed,Rural,521.0,7980.0,-0.023048571725962887,0.05077102074885035,100,6.853583141797214,798,31
29,27600.0,RENT,2.0,EDUCATION,A,7500.0,6.62,0,0.27,self_emp,Urban,584.0,10320.0,0.012368718935182248,-0.06445725050891095,100,67.77046509190993,524,29
25,25200.0,RENT,0.0,DEBTCONSOLIDATION,B,6000.0,,0,0.24,Employed,URBAN,774.0,6480.0,-0.005442882931554856,0.03994538363958979,100,65.8454584151527,788,25
25,125000.0,MORTGAGE,9.0,PERSONAL,B,12000.0,11.11,0,0.1,employed,Rural,651.0,5640.0,-0.0007810901011278954,-0.02870111719748333,100,3.513445842301932,704,25
31,,MORTGAGE,15.0,HOMEIMPROVEMENT,B,6000.0,12.69,0,0.08,self_emp,Urban,546.0,14100.0,-0.005273633377201086,0.04574052681748499,100,55.53700761348718,925,31
22,60000.0,MORTGAGE,6.0,EDUCATION,D,2500.0,15.99,0,0.04,Employed,URBAN,699.0,6720.0,0.015428881055391185,-0.024803678457954118,100,61.393843358566535,376,22
23,65000.0,MORTGAGE,,DEBTCONSOLIDATION,A,5400.0,8.9,0,0.08,Employed,Rural,,8880.0,-0.012309784968052595,-0.018167704755397918,100,43.01556571818368,183,23
35,88000.0,RENT,2.0,PERSONAL,A,13600.0,7.9,0,0.15,Self-employed,Rural,621.0,6840.0,0.00011736369721935848,-0.014417363387883237,100,90.1317175595463,268,35
24,100000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,C,10000.0,12.87,0,0.1,self_emp,Rural,,10020.0,0.0052743865185999675,-0.03286776708306565,100,32.83693193971211,84,24
24,30000.0,RENT,5.0,VENTURE,C,8000.0,14.26,0,0.27,employed,Rural,693.0,4260.0,-0.009198981704461536,0.04492634965407394,100,67.18529949706551,750,24
22,61000.0,MORTGAGE,6.0,EDUCATION,A,,7.49,0,0.2,employed,URBAN,794.0,10800.0,-0.0014817853349822913,0.005497426916663956,100,60.522025234331956,919,22
23,26976.0,RENT,4.0,PERSONAL,A,,7.51,1,0.33,Self-employed,RURAL,526.0,5100.0,0.9911333496531562,1.0012284081992904,0,98.9058510582962,176,23
22,31200.0,RENT,3.0,EDUCATION,B,,11.86,0,0.1,self_emp,RURAL,643.0,8400.0,-0.0034986266307643742,-0.06142293892755162,100,39.54943864138103,26,22
30,105000.0,MORTGAGE,5.0,EDUCATION,B,,11.83,0,0.19,employed,Urban,573.0,4620.0,0.006495813316461731,0.02372773811789813,100,46.11797969606496,109,30
23,93000.0,RENT,6.0,EDUCATION,C,10000.0,14.26,0,0.11,Employed,Rural,805.0,7140.0,-0.0034271777687814443,0.036776827790394435,100,86.1507887186512,367,23
30,230000.0,MORTGAGE,14.0,DEBTCONSOLIDATION,C,12000.0,13.98,0,0.05,Self-employed,Urban,780.0,10200.0,-0.009977577826593548,-0.09413473375391594,100,77.21483245249682,796,30
24,56533.0,MORTGAGE,,HOMEIMPROVEMENT,B,20000.0,11.11,0,0.35,employed,Urban,881.0,1500.0,-0.012519222604734526,-0.05311672621688739,100,15.69427265212563,439,24
29,75000.0,MORTGAGE,7.0,EDUCATION,A,6125.0,,0,0.08,employed,RURAL,870.0,3900.0,0.01926345405721134,0.02082959332520843,100,40.97843937452187,744,29
23,48000.0,MORTGAGE,8.0,VENTURE,A,10500.0,7.51,0,0.22,self_emp,URBAN,743.0,4740.0,-0.006579581276655113,0.12132361446206337,100,15.497744831596716,585,23
24,120000.0,MORTGAGE,8.0,VENTURE,A,20000.0,7.9,0,0.17,employed,RURAL,877.0,4680.0,-0.013109120070721599,0.060895633252921404,100,94.96788649410193,197,24
33,,RENT,,MEDICAL,A,12000.0,,0,0.16,self_emp,RURAL,863.0,2400.0,-0.017420539417718303,0.07886521492353864,100,17.775730435845418,2,33
29,43108.0,RENT,7.0,VENTURE,A,7200.0,6.03,0,0.17,employed,Urban,857.0,8640.0,0.01075103453808939,0.01698627110951495,100,41.90727335504364,618,29
26,100000.0,MORTGAGE,7.0,VENTURE,A,9200.0,6.03,0,0.09,Self-employed,Rural,563.0,2520.0,-0.0034130451466005923,0.016624549039468858,100,8.226072295998465,540,26
36,,MORTGAGE,2.0,PERSONAL,A,12000.0,,0,0.22,employed,URBAN,614.0,9660.0,-0.002537097350663985,-0.05167427336280381,100,92.13835219980818,333,36
